Episode,Hit,SR,MSE
1,0.0,-23.0,0.07839999999999996
2,1.0,94.0,0.16909999999999992
3,1.0,94.0,0.4664
4,1.0,88.0,0.09640000000000006
5,0.0,-8.0,0.09790000000000001
6,1.0,92.0,0.049099999999999984
7,0.0,-7.0,0.08509999999999998
8,0.0,-56.0,0.02910000000000001
9,0.0,27.0,0.049099999999999984
10,0.0,-29.0,0.0651
11,0.0,-8.0,0.02
12,0.0,-3.0,0.02
13,0.0,0.0,0.02910000000000001
14,1.0,96.0,0.049099999999999984
15,1.0,96.0,0.0984
16,1.0,98.0,0.02
17,1.0,96.0,0.049099999999999984
18,1.0,98.0,0.02910000000000001
19,1.0,97.0,0.02
20,1.0,98.0,0.049099999999999984
21,0.0,-15.0,0.03840000000000001
22,0.0,-66.0,0.02
23,1.0,97.0,0.02
24,0.0,-42.0,0.049099999999999984
25,1.0,95.0,0.02910000000000001
26,1.0,96.0,0.049099999999999984
27,0.0,48.0,0.03840000000000001
28,0.0,23.0,0.02
29,0.0,56.0,0.02
30,1.0,98.0,0.02
31,0.0,22.0,0.05640000000000001
32,1.0,98.0,0.02
33,1.0,98.0,0.02
34,1.0,78.0,0.0651
35,0.0,74.0,0.02
36,0.0,88.0,0.02
37,1.0,96.0,0.02
38,0.0,90.0,0.02
39,1.0,95.0,0.05640000000000001
40,1.0,96.0,0.02
41,0.0,81.0,0.02
42,1.0,98.0,0.06749999999999998
43,1.0,97.0,0.049099999999999984
44,1.0,98.0,0.02
45,0.0,34.0,0.14040000000000005
46,1.0,98.0,0.049099999999999984
47,1.0,96.0,0.02
48,1.0,98.0,0.04749999999999998
49,1.0,98.0,0.02
50,1.0,98.0,0.02
51,0.0,84.0,0.049099999999999984
52,1.0,98.0,0.04
53,1.0,96.0,0.039599999999999975
54,1.0,98.0,0.02
55,1.0,98.0,0.02
56,1.0,96.0,0.049099999999999984
57,0.0,78.0,0.02
58,1.0,96.0,0.02
59,1.0,98.0,0.04749999999999998
60,1.0,98.0,0.02
61,1.0,96.0,0.02
62,1.0,96.0,0.16
63,1.0,98.0,0.049099999999999984
64,1.0,97.0,0.039599999999999975
65,1.0,98.0,0.02
66,1.0,65.0,0.02
67,0.0,41.0,0.02
68,1.0,98.0,0.02
69,0.0,-24.0,0.02
70,1.0,98.0,0.049099999999999984
71,1.0,97.0,0.02
72,1.0,98.0,0.04749999999999998
