Episode,Hit,SR,Variance
1,1.0,51.0,0.6899
2,0.0,-4.0,0.0984
3,0.0,-22.0,0.19160000000000005
4,0.0,-9.0,0.08190000000000001
5,0.0,-8.0,0.09359999999999996
6,0.0,-8.0,0.09359999999999996
7,0.0,-2.0,0.01959999999999999
8,0.0,-3.0,0.049099999999999984
9,0.0,-8.0,0.09359999999999996
10,0.0,-2.0,0.01959999999999999
11,0.0,0.0,0.02
12,0.0,-8.0,0.09359999999999996
13,0.0,0.0,0.02
14,0.0,-5.0,0.04749999999999998
15,0.0,0.0,0.02
16,0.0,0.0,0.02
17,0.0,-3.0,0.049099999999999984
18,0.0,-5.0,0.06749999999999998
19,0.0,0.0,0.02
20,0.0,0.0,0.1
21,0.0,-2.0,0.01959999999999999
22,0.0,-3.0,0.049099999999999984
23,0.0,0.0,0.1
24,0.0,0.0,0.02
25,0.0,-5.0,0.04749999999999998
26,0.0,0.0,0.12
27,0.0,-3.0,0.049099999999999984
28,0.0,0.0,0.02
29,0.0,0.0,0.02
30,0.0,0.0,0.02
31,0.0,0.0,0.02
32,0.0,0.0,0.02
33,0.0,0.0,0.02
34,0.0,0.0,0.02
35,0.0,0.0,0.02
36,0.0,0.0,0.02
37,0.0,0.0,0.02
38,0.0,0.0,0.02
39,0.0,0.0,0.02
40,0.0,0.0,0.02
41,0.0,0.0,0.02
42,0.0,0.0,0.02
43,0.0,0.0,0.02
44,0.0,0.0,0.02
45,0.0,0.0,0.2
46,1.0,96.0,0.07839999999999996
47,1.0,98.0,0.03959999999999999
48,1.0,98.0,0.03959999999999999
49,1.0,98.0,0.03959999999999999
50,0.0,-52.0,0.7296
51,1.0,96.0,0.07839999999999997
52,1.0,98.0,0.03959999999999999
53,1.0,98.0,0.03959999999999999
54,1.0,98.0,0.03959999999999999
55,0.0,25.0,0.2075
56,0.0,90.0,0.12999999999999998
57,0.0,-14.0,0.9803999999999996
58,1.0,98.0,0.03959999999999999
59,1.0,80.0,0.18
60,0.0,33.0,0.24110000000000004
61,1.0,98.0,0.03959999999999999
62,1.0,98.0,0.03959999999999999
63,1.0,98.0,0.03959999999999999
64,1.0,98.0,0.03959999999999999
65,1.0,98.0,0.03959999999999999
66,0.0,26.0,0.21240000000000003
67,1.0,94.0,0.11640000000000005
68,1.0,98.0,0.03959999999999999
69,0.0,66.0,0.24440000000000006
70,1.0,98.0,0.03959999999999999
71,1.0,98.0,0.03959999999999999
72,1.0,98.0,0.03959999999999999
73,0.0,-46.0,0.7884000000000003
74,0.0,69.0,0.23389999999999994
75,0.0,76.0,0.42239999999999994
76,1.0,94.0,0.11640000000000005
77,1.0,98.0,0.03959999999999999
78,1.0,98.0,0.03959999999999999
79,1.0,98.0,0.03959999999999999
80,1.0,98.0,0.03959999999999999
81,0.0,81.0,0.17389999999999994
82,0.0,0.0,0.02
83,0.0,38.0,0.2556000000000001
84,1.0,96.0,0.07839999999999997
85,0.0,79.0,0.1858999999999999
86,1.0,98.0,0.03959999999999999
87,1.0,98.0,0.03959999999999999
88,1.0,98.0,0.03959999999999999
89,1.0,98.0,0.03959999999999999
90,0.0,60.0,0.25999999999999995
91,0.0,56.0,0.2664000000000001
92,0.0,24.0,0.20240000000000002
93,1.0,98.0,0.03959999999999999
94,1.0,98.0,0.03959999999999999
95,1.0,98.0,0.03959999999999999
96,1.0,98.0,0.03959999999999999
97,0.0,27.0,0.21710000000000007
98,1.0,98.0,0.03959999999999999
99,1.0,98.0,0.03959999999999999
100,0.0,36.0,0.2504
101,1.0,98.0,0.03959999999999999
102,0.0,35.0,0.24749999999999997
103,0.0,-27.0,0.8171
104,0.0,0.0,0.02
105,0.0,0.0,0.02
106,1.0,98.0,0.03959999999999999
107,0.0,-22.0,0.9516
108,0.0,-1.0,0.049899999999999986
109,0.0,-1.0,0.049899999999999986
110,0.0,-1.0,0.049899999999999986
111,0.0,-1.0,0.049899999999999986
112,1.0,0.0,1.0
113,0.0,0.0,1.0
114,0.0,-18.0,0.7676
115,0.0,0.0,0.08
116,0.0,0.0,0.04
117,0.0,0.0,0.06
118,0.0,0.0,0.08
119,0.0,1.0,0.049900000000000014
120,0.0,54.0,0.3083999999999999
121,0.0,-60.0,0.6400000000000001
122,0.0,81.0,0.17389999999999994
123,1.0,98.0,0.03959999999999999
124,1.0,96.0,0.07839999999999997
125,1.0,96.0,0.07839999999999997
126,1.0,96.0,0.07839999999999997
127,1.0,98.0,0.03959999999999999
128,0.0,16.0,0.9743999999999999
129,0.0,32.0,0.23759999999999992
130,0.0,60.0,0.25999999999999995
131,1.0,98.0,0.03959999999999999
132,1.0,98.0,0.03959999999999999
133,1.0,98.0,0.03959999999999999
134,1.0,98.0,0.03959999999999999
135,1.0,98.0,0.03959999999999999
136,0.0,53.0,0.2690999999999999
137,1.0,98.0,0.03959999999999999
138,1.0,98.0,0.03959999999999999
139,1.0,98.0,0.03959999999999999
140,0.0,29.0,0.22589999999999988
141,1.0,98.0,0.03959999999999999
142,1.0,96.0,0.07839999999999997
143,1.0,98.0,0.03959999999999999
144,1.0,98.0,0.03959999999999999
145,1.0,98.0,0.03959999999999999
146,0.0,90.0,0.14999999999999997
147,0.0,83.0,0.16110000000000002
148,1.0,98.0,0.03959999999999999
149,0.0,28.0,0.2215999999999999
150,1.0,98.0,0.03959999999999999
151,0.0,90.0,0.11
152,0.0,40.0,0.26000000000000006
