Episode,Hit,SR,MSE
332,0.0,0.0,0.009899999999999997
333,0.0,0.0,0.10559999999999999
334,0.0,0.0,0.03840000000000001
335,0.0,0.0,0.03840000000000001
336,0.0,0.0,0.009899999999999997
337,0.0,0.0,0.03840000000000001
338,0.0,0.0,0.05640000000000001
339,0.0,0.0,0.009899999999999997
340,0.0,0.0,0.009899999999999997
341,0.0,0.0,0.01959999999999999
342,0.0,0.0,0.009899999999999997
343,0.0,0.0,0.009899999999999997
344,0.0,0.0,0.009899999999999997
345,0.0,0.0,0.009899999999999997
346,0.0,0.0,0.009899999999999997
347,0.0,0.0,0.009899999999999997
348,0.0,0.0,0.009899999999999997
349,0.0,0.0,0.019599999999999992
350,0.0,0.0,0.009899999999999997
351,0.0,0.0,0.009899999999999997
352,0.0,0.0,0.009899999999999997
353,0.0,0.0,0.009899999999999997
354,0.0,0.0,0.009899999999999997
355,0.0,0.0,0.009899999999999997
356,0.0,0.0,0.009899999999999997
357,0.0,0.0,0.009899999999999997
358,0.0,0.0,0.009899999999999997
359,0.0,0.0,0.009899999999999997
360,0.0,0.0,0.009899999999999997
361,0.0,0.0,0.009899999999999997
362,0.0,0.0,0.009899999999999997
363,0.0,0.0,0.009899999999999997
364,0.0,0.0,0.009899999999999997
365,0.0,0.0,0.009899999999999997
366,0.0,0.0,0.009899999999999997
367,0.0,0.0,0.009899999999999997
368,0.0,0.0,0.009899999999999997
369,0.0,0.0,0.009899999999999997
370,0.0,0.0,0.009899999999999997
371,0.0,0.0,0.009899999999999997
372,0.0,0.0,0.009899999999999997
373,0.0,0.0,0.009899999999999997
374,0.0,0.0,0.009899999999999997
375,0.0,0.0,0.009899999999999997
376,0.0,0.0,0.056400000000000006
377,0.0,0.0,0.009899999999999997
378,0.0,-1.0,0.009899999999999997
379,0.0,0.0,0.009899999999999997
380,0.0,0.0,0.009899999999999997
381,0.0,0.0,0.009899999999999997
382,0.0,0.0,0.009899999999999997
383,0.0,0.0,0.009899999999999997
384,0.0,0.0,0.009899999999999997
385,0.0,0.0,0.009899999999999997
386,0.0,0.0,0.009899999999999997
387,0.0,0.0,0.009899999999999997
388,0.0,0.0,0.009899999999999997
389,0.0,0.0,0.009899999999999997
390,0.0,0.0,0.009899999999999997
391,0.0,0.0,0.009899999999999997
392,0.0,0.0,0.009899999999999997
393,0.0,0.0,0.009899999999999997
394,0.0,0.0,0.009899999999999997
395,0.0,0.0,0.009899999999999997
396,0.0,-2.0,0.009899999999999997
397,0.0,0.0,0.009899999999999997
398,0.0,0.0,0.009899999999999997
399,0.0,0.0,0.009899999999999997
400,0.0,0.0,0.009899999999999997
401,0.0,0.0,0.009899999999999997
402,0.0,0.0,0.009899999999999997
403,0.0,0.0,0.009899999999999997
404,0.0,0.0,0.009899999999999997
405,0.0,0.0,0.009899999999999997
406,0.0,0.0,0.009899999999999997
407,0.0,0.0,0.009899999999999997
408,0.0,0.0,0.009899999999999997
409,0.0,0.0,0.009899999999999997
410,0.0,0.0,0.009899999999999997
411,0.0,0.0,0.009899999999999997
412,0.0,0.0,0.009899999999999997
413,0.0,0.0,0.009899999999999997
414,0.0,0.0,0.009899999999999997
415,0.0,0.0,0.009899999999999997
416,0.0,0.0,0.009899999999999997
417,0.0,0.0,0.009899999999999997
418,0.0,0.0,0.009899999999999997
419,0.0,0.0,0.009899999999999997
420,0.0,0.0,0.009899999999999997
421,0.0,0.0,0.009899999999999997
422,0.0,0.0,0.009899999999999997
423,0.0,0.0,0.009899999999999997
424,0.0,0.0,0.009899999999999997
425,0.0,0.0,0.009899999999999997
426,0.0,0.0,0.009899999999999997
427,0.0,0.0,0.009899999999999997
428,0.0,0.0,0.009899999999999997
429,0.0,0.0,0.009899999999999997
430,0.0,0.0,0.009899999999999997
431,0.0,0.0,0.009899999999999997
432,0.0,0.0,0.009899999999999997
433,0.0,0.0,0.009899999999999997
434,0.0,0.0,0.009899999999999997
435,0.0,0.0,0.009899999999999997
436,0.0,0.0,0.009899999999999997
437,0.0,0.0,0.009899999999999997
438,0.0,0.0,0.009899999999999997
439,0.0,0.0,0.009899999999999997
440,0.0,0.0,0.009899999999999997
441,0.0,3.0,0.009899999999999997
442,0.0,0.0,0.009899999999999997
443,0.0,0.0,0.009899999999999997
444,0.0,0.0,0.009899999999999997
445,0.0,0.0,0.009899999999999997
446,0.0,0.0,0.009899999999999997
447,0.0,0.0,0.009899999999999997
448,0.0,0.0,0.009899999999999997
449,0.0,0.0,0.009899999999999997
450,0.0,0.0,0.009899999999999997
451,0.0,0.0,0.009899999999999997
452,0.0,0.0,0.009899999999999997
453,0.0,0.0,0.009899999999999997
454,0.0,0.0,0.009899999999999997
455,0.0,0.0,0.009899999999999997
456,0.0,0.0,0.009899999999999997
457,0.0,0.0,0.009899999999999997
458,0.0,0.0,0.009899999999999997
459,0.0,0.0,0.009899999999999997
460,0.0,0.0,0.009899999999999997
461,0.0,0.0,0.009899999999999997
462,0.0,0.0,0.009899999999999997
463,0.0,0.0,0.009899999999999997
464,0.0,0.0,0.009899999999999997
465,0.0,0.0,0.009899999999999997
466,0.0,0.0,0.009899999999999997
467,0.0,0.0,0.009899999999999997
468,0.0,0.0,0.009899999999999997
469,0.0,0.0,0.009899999999999997
470,0.0,0.0,0.009899999999999997
471,0.0,0.0,0.009899999999999997
472,0.0,0.0,0.009899999999999997
473,0.0,0.0,0.009899999999999997
474,0.0,0.0,0.009899999999999997
475,0.0,0.0,0.009899999999999997
476,0.0,0.0,0.009899999999999997
477,0.0,0.0,0.009899999999999997
478,0.0,0.0,0.009899999999999997
479,0.0,0.0,0.009899999999999997
480,0.0,0.0,0.009899999999999997
481,0.0,0.0,0.009899999999999997
482,0.0,0.0,0.009899999999999997
483,0.0,0.0,0.009899999999999997
484,0.0,0.0,0.009899999999999997
485,0.0,0.0,0.009899999999999997
486,0.0,0.0,0.009899999999999997
487,0.0,0.0,0.009899999999999997
488,0.0,0.0,0.009899999999999997
489,0.0,0.0,0.01959999999999999
490,0.0,0.0,0.009899999999999997
491,0.0,1.0,0.009899999999999997
492,0.0,0.0,0.009899999999999997
493,0.0,0.0,0.009899999999999997
494,0.0,0.0,0.009899999999999997
495,0.0,-2.0,0.009899999999999997
496,0.0,0.0,0.009899999999999997
497,0.0,0.0,0.009899999999999997
498,0.0,0.0,0.009899999999999997
499,0.0,0.0,0.009899999999999997
500,0.0,0.0,0.009899999999999997
501,0.0,0.0,0.009899999999999997
502,0.0,0.0,0.009899999999999997
503,0.0,0.0,0.009899999999999997
504,0.0,0.0,0.01959999999999999
505,0.0,0.0,0.009899999999999997
506,0.0,0.0,0.009899999999999997
507,0.0,0.0,0.009899999999999997
508,0.0,0.0,0.009899999999999997
509,0.0,0.0,0.009899999999999997
510,0.0,0.0,0.009899999999999997
511,0.0,-1.0,0.009899999999999997
512,0.0,0.0,0.009899999999999997
513,0.0,0.0,0.009899999999999997
514,0.0,0.0,0.009899999999999997
515,0.0,0.0,0.009899999999999997
516,0.0,0.0,0.009899999999999997
517,0.0,0.0,0.009899999999999997
518,0.0,0.0,0.009899999999999997
519,0.0,0.0,0.009899999999999997
520,0.0,0.0,0.009899999999999997
521,0.0,0.0,0.009899999999999997
522,0.0,0.0,0.009899999999999997
523,0.0,0.0,0.009899999999999997
524,0.0,0.0,0.009899999999999997
525,0.0,0.0,0.009899999999999997
526,0.0,0.0,0.009899999999999997
527,0.0,0.0,0.009899999999999997
528,0.0,0.0,0.009899999999999997
529,0.0,0.0,0.009899999999999997
530,0.0,0.0,0.009899999999999997
531,0.0,0.0,0.009899999999999997
532,0.0,3.0,0.009899999999999997
533,1.0,49.0,0.009899999999999997
534,0.0,16.0,0.009899999999999997
535,0.0,25.0,0.009899999999999997
536,1.0,49.0,0.009899999999999997
537,0.0,41.0,0.009899999999999997
538,0.0,48.0,0.009899999999999997
539,0.0,17.0,0.009899999999999997
540,0.0,1.0,0.009899999999999997
541,1.0,24.0,0.009899999999999997
542,0.0,48.0,0.009899999999999997
543,1.0,16.0,0.009899999999999997
544,1.0,49.0,0.009899999999999997
545,1.0,45.0,0.009899999999999997
546,0.0,42.0,0.009899999999999997
547,1.0,49.0,0.009899999999999997
548,1.0,14.0,0.009899999999999997
549,1.0,49.0,0.009899999999999997
550,1.0,49.0,0.009899999999999997
551,1.0,49.0,0.009899999999999997
552,1.0,49.0,0.009899999999999997
553,0.0,45.0,0.009899999999999997
554,0.0,48.0,0.009899999999999997
555,1.0,49.0,0.009899999999999997
556,1.0,49.0,0.009899999999999997
557,0.0,36.0,0.009899999999999997
558,0.0,0.0,0.009899999999999997
559,0.0,33.0,0.009899999999999997
560,1.0,49.0,0.009899999999999997
561,0.0,16.0,0.009899999999999997
562,1.0,49.0,0.009899999999999997
563,0.0,48.0,0.009899999999999997
564,0.0,33.0,0.009899999999999997
565,0.0,49.0,0.009899999999999997
566,0.0,10.0,0.009899999999999997
567,0.0,19.0,0.009899999999999997
568,1.0,49.0,0.009899999999999997
569,1.0,49.0,0.009899999999999997
570,1.0,38.0,0.009899999999999997
571,0.0,42.0,0.009899999999999997
572,0.0,1.0,0.009899999999999997
573,1.0,49.0,0.009899999999999997
574,1.0,48.0,0.009899999999999997
575,0.0,12.0,0.009899999999999997
576,0.0,48.0,0.009899999999999997
577,0.0,49.0,0.009899999999999997
578,0.0,47.0,0.009899999999999997
579,0.0,47.0,0.009899999999999997
580,1.0,47.0,0.009899999999999997
581,0.0,48.0,0.009899999999999997
582,1.0,36.0,0.009899999999999997
583,1.0,49.0,0.009899999999999997
584,1.0,48.0,0.009899999999999997
585,1.0,49.0,0.009899999999999997
586,0.0,42.0,0.009899999999999997
587,1.0,49.0,0.009899999999999997
588,1.0,49.0,0.009899999999999997
589,1.0,49.0,0.009899999999999997
590,0.0,3.0,0.009899999999999997
591,1.0,49.0,0.009899999999999997
592,1.0,49.0,0.009899999999999997
593,1.0,49.0,0.009899999999999997
594,0.0,17.0,0.009899999999999997
595,1.0,49.0,0.009899999999999997
596,1.0,25.0,0.009899999999999997
597,1.0,49.0,0.009899999999999997
598,1.0,49.0,0.009899999999999997
599,0.0,45.0,0.009899999999999997
600,0.0,49.0,0.009899999999999997
601,0.0,25.0,0.23759999999999984
602,1.0,49.0,0.019599999999999992
603,0.0,20.0,0.009899999999999997
604,1.0,49.0,0.009899999999999997
605,1.0,49.0,0.009899999999999997
606,0.0,16.0,0.009899999999999997
607,1.0,40.0,0.009899999999999997
608,1.0,49.0,0.009899999999999997
609,1.0,14.0,0.009899999999999997
610,0.0,49.0,0.009899999999999997
611,0.0,37.0,0.009899999999999997
612,1.0,49.0,0.009899999999999997
613,1.0,49.0,0.009899999999999997
614,1.0,49.0,0.009899999999999997
615,1.0,49.0,0.009899999999999997
616,0.0,24.0,0.009899999999999997
617,0.0,47.0,0.009899999999999997
618,1.0,26.0,0.009899999999999997
619,1.0,49.0,0.009899999999999997
620,1.0,49.0,0.009899999999999997
621,0.0,10.0,0.009899999999999997
622,1.0,49.0,0.009899999999999997
623,1.0,48.0,0.009899999999999997
624,1.0,49.0,0.009899999999999997
625,0.0,22.0,0.009899999999999997
626,1.0,49.0,0.009899999999999997
627,1.0,49.0,0.009899999999999997
628,1.0,12.0,0.009899999999999997
629,0.0,15.0,0.009899999999999997
630,1.0,48.0,0.009899999999999997
631,1.0,49.0,0.009899999999999997
